2024-10-01 20:17:48,419 - INFO - Starting coin scraping process
2024-10-01 20:18:06,069 - INFO - Slowly scrolled to the bottom of the page
2024-10-01 20:18:17,613 - INFO - Slowly scrolled to the top of the page
2024-10-01 20:19:01,144 - INFO - Read: Rank: 76, Name: NEAR Protocol
2024-10-01 20:19:01,220 - INFO - Read: Rank: 77, Name: Mdex
2024-10-01 20:19:01,305 - INFO - Read: Rank: 78, Name: Stacks
2024-10-01 20:19:01,386 - INFO - Read: Rank: 79, Name: Decentraland
2024-10-01 20:19:01,456 - INFO - Read: Rank: 80, Name: Synthetix
2024-10-01 20:19:01,530 - INFO - Read: Rank: 81, Name: Bitcoin Gold
2024-10-01 20:19:01,604 - INFO - Read: Rank: 82, Name: Nexo
2024-10-01 20:19:01,677 - INFO - Read: Rank: 83, Name: Harmony
2024-10-01 20:19:01,753 - INFO - Read: Rank: 84, Name: HUSD
2024-10-01 20:19:01,829 - INFO - Read: Rank: 85, Name: Revain
2024-10-01 20:19:01,921 - INFO - Read: Rank: 86, Name: Bancor
2024-10-01 20:19:01,995 - INFO - Read: Rank: 87, Name: Horizen
2024-10-01 20:19:02,073 - INFO - Read: Rank: 88, Name: Nano
2024-10-01 20:19:02,145 - INFO - Read: Rank: 89, Name: DigiByte
2024-10-01 20:19:02,217 - INFO - Read: Rank: 90, Name: Qtum
2024-10-01 20:19:02,292 - INFO - Read: Rank: 91, Name: OKB
2024-10-01 20:19:02,366 - INFO - Read: Rank: 92, Name: Curve DAO Token
2024-10-01 20:19:02,442 - INFO - Read: Rank: 93, Name: KuCoin Token
2024-10-01 20:19:02,518 - INFO - Read: Rank: 94, Name: Fantom
2024-10-01 20:19:02,595 - INFO - Read: Rank: 95, Name: Ontology
2024-10-01 20:19:02,670 - INFO - Read: Rank: 96, Name: Siacoin
2024-10-01 20:19:02,742 - INFO - Read: Rank: 97, Name: 0x
2024-10-01 20:19:02,828 - INFO - Read: Rank: 98, Name: OMG Network
2024-10-01 20:19:02,907 - INFO - Read: Rank: 99, Name: UMA
2024-10-01 20:19:02,979 - INFO - Read: Rank: 100, Name: BakeryToken
2024-10-01 20:19:03,063 - INFO - Read: Rank: 101, Name: Voyager Token
2024-10-01 20:19:03,135 - INFO - Read: Rank: 102, Name: SwissBorg
2024-10-01 20:19:03,207 - INFO - Read: Rank: 103, Name: Ankr
2024-10-01 20:19:03,282 - INFO - Read: Rank: 104, Name: Ravencoin
2024-10-01 20:19:03,354 - INFO - Read: Rank: 105, Name: ICON
2024-10-01 20:19:03,440 - INFO - Read: Rank: 106, Name: 1inch
2024-10-01 20:19:03,536 - INFO - Read: Rank: 107, Name: Livepeer
2024-10-01 20:19:03,614 - INFO - Read: Rank: 108, Name: Neutrino USD
2024-10-01 20:19:03,691 - INFO - Read: Rank: 109, Name: Bitcoin Diamond
2024-10-01 20:19:03,770 - INFO - Read: Rank: 110, Name: renBTC
2024-10-01 20:19:03,849 - INFO - Read: Rank: 111, Name: Flow
2024-10-01 20:19:03,930 - INFO - Read: Rank: 112, Name: Verge
2024-10-01 20:19:04,009 - INFO - Read: Rank: 113, Name: Ren
2024-10-01 20:19:04,088 - INFO - Read: Rank: 114, Name: Arweave
2024-10-01 20:19:04,171 - INFO - Read: Rank: 115, Name: WazirX
2024-10-01 20:19:04,242 - INFO - Read: Rank: 116, Name: Loopring
2024-10-01 20:19:04,311 - INFO - Read: Rank: 117, Name: Nervos Network
2024-10-01 20:19:04,384 - INFO - Read: Rank: 118, Name: IOST
2024-10-01 20:19:04,454 - INFO - Read: Rank: 119, Name: MaidSafeCoin
2024-10-01 20:19:04,522 - INFO - Read: Rank: 120, Name: WINkLink
2024-10-01 20:19:04,596 - INFO - Read: Rank: 121, Name: Reserve Rights
2024-10-01 20:19:04,670 - INFO - Read: Rank: 122, Name: Kyber Network Crystal Legacy
2024-10-01 20:19:04,748 - INFO - Read: Rank: 123, Name: Gnosis
2024-10-01 20:19:04,819 - INFO - Read: Rank: 124, Name: Lisk
2024-10-01 20:19:04,893 - INFO - Read: Rank: 125, Name: Ocean Protocol
